,O-LIFE-UE,O-LIFE-IA,O-LIFE-CD,O-LIFE-IA-covars,O-LIFE-CD-covars
0,0.027519798500696028,0.0002922826783714437,0.0029655067256371052,0.001000087795629014,0.0022617994293967388
1,0.020483391452266894,0.022988950411000453,0.0007465794192251404,0.002213635792964059,0.052872987934412495
2,0.0032158005939064743,0.00024916139522575986,0.0008924248553120503,0.007468876274769457,0.0009918645410320536
3,0.0006569815072464459,0.0004599567349143408,0.0044781476350923095,0.003901365292928287,0.00219565107540577
4,0.006643574144047052,0.02232016445183733,0.014216586617569941,0.01741091776005018,0.03360299571835645
5,0.00015658294950228965,1.2777672141163929e-05,0.016167141383844192,0.012803123491575686,0.0015075085317621775
6,6.663915743411702e-05,2.098356188030425e-06,0.0016928831169869753,0.00043619610465522494,3.5709169362233664e-06
7,0.001663356490501411,0.012769163495874517,0.0021400948849030453,0.02375288096316866,0.011129107533285193
8,0.0006660472732697336,0.009720761443908417,0.00014531780975609988,0.003843628940036645,0.0004146746403808382
9,0.0003073513818242138,0.0012280756900477547,0.0010111460847383976,0.0002809943095150393,0.0020939928429159335
10,0.002129803489532636,0.003208138858526689,0.0006111748212208126,0.00042775941228614494,0.0017952982206351678
11,0.00460583874268259,0.0013554151040730872,0.0003925157056307515,0.0013051044658154735,2.461027953067205e-05
12,1.760095830491293e-05,0.000897732471744968,3.356571942503852e-05,1.16294530469449e-05,2.565804821672004e-05
13,0.004380122857370678,0.002427109917894696,0.0010873072778517243,0.004629839099238506,0.0008290405496786973
14,0.0003792622836254696,0.0016457201431948451,5.434706037131123e-05,0.0018652587834847723,2.3897012666728065e-07
15,0.0019394734727707624,0.001132708431862936,0.0005374490174006259,9.32342080420547e-07,0.0033973463289402954
16,0.00519201646934323,0.00017460369150475936,0.0003583007424589806,8.126855235403283e-05,0.00023425014673203166
17,0.00011374776194019003,0.0032681900916665704,0.00011396513256033457,0.002316406460097106,0.0002844787530108218
18,0.0016314602138972803,0.020454050236239432,0.015316648225738147,0.0138403878394317,0.016784222633119825
19,4.9570273342721424e-05,0.008104954698092788,0.00016282716136088423,0.011297041992527554,0.0013643574313510075
20,0.004607496330880948,0.004585602867039836,0.0045461447309614956,0.009208388946500489,0.0025734193264063425
21,0.00806219400527217,0.00034072109392309764,0.003874219889628527,0.002750202493624864,0.002466406018251929
22,0.0004436358448746992,0.00012243719264893327,0.0016745321907761295,6.068824758581817e-05,0.0003032437367835252
23,0.011326795933201027,3.415303855936853e-05,0.005107313972903962,0.0006619028769358861,0.0009140416142021996
24,0.0017244202727998172,0.02434780800849261,2.0840667471619527e-05,0.0003143094564139808,0.004578527376694577
25,0.004627031426695526,0.0015385992047928215,0.005128825874837344,0.0075977203255214645,0.0012023661352673744
26,0.008423661935749718,0.0021067325485514665,8.669819271185192e-05,0.005433586427777255,0.0019469093272582666
27,0.0004331076032161125,0.0001256252993879204,0.025057625368614365,0.00014095389669325367,0.004377960719718616
28,7.83919072382391e-05,0.005031362650278398,0.002108555859084244,0.0008226596840329276,0.0007885432780153623
29,0.0003820723912101408,1.80022918915855e-05,0.0017126934058143573,2.3300661566574572e-06,0.0003649401232012779
30,0.003377545933034236,0.022629454523393006,0.0075848941095643194,0.0068659728235778835,0.02269982456516519
31,2.027550658418911e-05,0.0037767726309468584,0.015139066718940044,0.010288053316673334,0.005915397727529918
32,0.010331922691587067,0.004499961002712847,0.02159025727325118,0.009871330176257076,0.024375592364839365
33,0.00022470178578876267,0.005726469777963749,0.007588816871597501,0.003732971084299457,0.0050178313507879034
34,0.018026894959302205,0.0017110165517269743,0.008566501194949974,0.011201928820174303,0.012953944821628935
35,6.330412919836673e-05,0.012500673499081315,0.0010435619137872673,0.003935113379578011,0.007542566660843543
36,0.00881787925848614,0.0010340239758151928,0.005927839783171248,0.012295829800358598,0.0017430291173088904
37,0.0002385120693092166,0.0005287112475300979,0.0034819588510057605,0.0005873711609132214,0.0006001397758495212
38,1.426996403851075e-05,0.0023519053062929195,0.0028063380181235554,0.001078941022290917,0.007555223354991872
39,0.0021441745856399753,0.0003391250371477384,0.0015642490270914098,0.00015897371637591093,0.001129934601383934
40,8.274538893619812e-05,0.0001534045024255787,0.0016947228017685071,4.834459318792749e-05,0.002522691925301662
41,0.015646149934466603,0.0003199597593255793,0.009654793328496931,0.009867874105150875,0.006940147916976917
42,0.008967824110014013,0.0035880238394888878,0.0038568661473017836,0.007625647383746414,0.008174582808312328
43,0.004018349985703892,0.013161277109030084,0.0017431616532364808,0.010579353229730158,0.014910181931071109
44,0.013347555036177348,0.04214689098947771,0.06251355950258171,0.029743723134268894,0.08372762723975946
45,0.005694065184095143,0.004149177661497152,0.0005358118405141572,0.003529588310056027,0.006303788135605519
46,0.019199089812614416,0.0018293214272005207,0.004914022000450503,0.0028819498792694727,0.014438499993590684
47,0.002941473834605175,0.00021585279446078938,0.0007816039715007339,1.2944045372475012e-05,0.00022864722536200126
48,0.0010246394122397477,0.0006741885124909318,0.00025801635033098966,0.0005276000056984291,0.0008193879411784928
49,0.0013339909505563268,0.0036813580473652814,0.0013717809378789613,0.00016983446189693086,0.00550757969294866
50,0.007958936169916836,2.3848099342477832e-06,8.751829543599023e-05,0.002644098339430781,0.0026848503944893127
51,0.0006246618389173342,0.001524600485271104,0.01029700047271082,0.00021569139122413784,0.0024095143343408586
52,0.0005316621151242744,0.0017700873618757128,0.004047155510090172,0.006530078958266842,0.004230240341912314
53,0.0056315674319603335,0.00998892696524021,0.016442494014452427,0.017306924060589996,0.012158307824574981
