Atlas,corr,pval,sign?
D1_sch23390_kaller2017,0.2688,0.0978,N
D2_fallypride_jaworska2020,0.2242,0.2192,N
DAT_fpcit_dukart2018,0.0878,0.5283,N
GABAa5_Ro15_10hc_lukow,0.0415,0.7479,N
GABAbz_flumazenil_norgaard2021,0.081,0.5961,N
mGluRR5_abp688_smart2019,-0.0222,0.8284,N
NMDA_ge179_galovic2021,0.4699,0.0002,Y
SV2A_ucbj_finnema2016,-0.0398,0.6911,N
