Atlas,corr,pval,sign?
D1_sch23390_kaller2017,0.3056,0.0658,N
D2_fallypride_jaworska2020,0.1782,0.3239,N
DAT_fpcit_dukart2018,-0.0812,0.5597,N
GABAa5_Ro15_10hc_lukow,0.2157,0.0906,N
GABAbz_flumazenil_norgaard2021,-0.224,0.1018,N
mGluRR5_abp688_smart2019,-0.1218,0.2364,N
NMDA_ge179_galovic2021,0.0688,0.6051,N
SV2A_ucbj_finnema2016,0.1172,0.2476,N
