Atlas,corr,pval,sign?
D1_sch23390_kaller2017,0.5551,0.0002,Y
D2_fallypride_jaworska2020,0.3879,0.0236,Y
DAT_fpcit_dukart2018,-0.1136,0.4133,N
GABAa5_Ro15_10hc_lukow,0.2699,0.0204,Y
GABAbz_flumazenil_norgaard2021,-0.0996,0.5127,N
mGluRR5_abp688_smart2019,0.0764,0.4619,N
NMDA_ge179_galovic2021,0.508,0.0002,Y
SV2A_ucbj_finnema2016,0.0474,0.6423,N
