Atlas,corr,pval,sign?
D1_sch23390_kaller2017,0.3507,0.126,N
D2_fallypride_jaworska2020,0.3041,0.2995,N
DAT_fpcit_dukart2018,-0.0807,0.7077,N
GABAa5_Ro15_10hc_lukow,0.1439,0.3551,N
GABAbz_flumazenil_norgaard2021,-0.1937,0.4027,N
mGluRR5_abp688_smart2019,-0.185,0.1096,N
NMDA_ge179_galovic2021,0.2857,0.1158,N
SV2A_ucbj_finnema2016,-0.0131,0.9142,N
