Atlas,corr,pval,sign?
D1_sch23390_kaller2017,0.2913,0.0808,N
D2_fallypride_jaworska2020,0.1476,0.4117,N
DAT_fpcit_dukart2018,-0.0343,0.8002,N
GABAa5_Ro15_10hc_lukow,0.1775,0.1704,N
GABAbz_flumazenil_norgaard2021,-0.177,0.2086,N
mGluRR5_abp688_smart2019,-0.1888,0.0644,N
NMDA_ge179_galovic2021,0.0881,0.5043,N
SV2A_ucbj_finnema2016,0.0626,0.5319,N
